Position,Games Played,Win,Draw,Loss,Goals For,Goals Against,Points,Win Percentage,Countries,Continents
77,13,3,3,7,13,19,10,23.076923076923077,Algeria,Africa
23,3,0,2,1,1,2,2,0.0,Angola,Africa
124,81,43,15,23,137,93,120,53.086419753086425,Argentina,South America
108,16,2,4,10,13,31,10,12.5,Australia,Asia
78,29,12,4,13,43,47,28,41.37931034482759,Austria,Europe
139,48,20,9,19,68,72,62,41.66666666666667,Belgium,Europe
46,6,0,1,5,1,20,1,0.0,Bolivia,South America
20,3,1,0,2,4,4,3,33.33333333333333,Bosnia and Herzegovina,Europe
96,109,73,18,18,229,105,193,66.97247706422019,Brazil,South America
90,23,3,7,13,17,44,16,13.043478260869565,Bulgaria,Europe
13,3,0,1,2,5,9,1,0.0,Bulgaria**,Europe
154,23,4,7,12,18,43,16,17.391304347826086,Cameroon,Africa
24,3,0,0,3,0,5,0,0.0,Canada,North America
98,33,11,7,15,40,49,33,33.33333333333333,Chile,South America
31,3,0,0,3,0,9,0,0.0,China PR,Asia
82,22,9,3,10,32,30,29,40.909090909090914,Colombia,South America
99,18,5,5,8,19,28,18,27.77777777777778,Costa Rica,North America
69,23,11,4,8,35,26,37,47.82608695652174,Croatia,Europe
7,3,1,1,1,5,12,3,33.33333333333333,Cuba,North America
20,3,1,0,2,3,4,3,33.33333333333333,Czech Republic,Europe
72,30,11,5,14,44,45,27,36.666666666666664,Czechoslovakia,Europe
62,20,9,5,6,30,26,29,45.0,Denmark,Europe
15,1,0,0,1,0,6,0,0.0,Dutch East Indies,Asia
6,6,2,2,2,5,5,6,33.33333333333333,East Germany,Europe
53,10,4,1,5,10,11,13,40.0,Ecuador,South America
64,7,0,2,5,5,12,2,0.0,Egypt,Africa
40,6,0,0,6,1,22,0,0.0,El Salvador,North America
126,69,29,21,19,91,64,90,42.028985507246375,England,Europe
10,4,2,1,1,5,4,7,50.0,FR Yugoslavia,Europe
138,66,34,13,19,120,77,100,51.515151515151516,France,Europe
53,47,31,6,10,95,48,96,65.95744680851064,Germany,Europe
45,12,4,3,5,13,16,15,33.33333333333333,Ghana,Africa
62,10,2,2,6,5,20,8,20.0,Greece,Europe
15,3,0,0,3,2,14,0,0.0,Haiti,North America
79,9,0,3,6,3,14,3,0.0,Honduras,North America
78,32,15,3,14,87,57,33,46.875,Hungary,Europe
29,3,0,1,2,2,5,1,0.0,Iceland,Europe
104,15,2,4,9,9,24,10,13.333333333333334,Iran,Asia
23,3,0,0,3,1,4,0,0.0,Iraq,Asia
12,3,0,2,1,1,3,2,0.0,Israel*,Europe
140,82,44,21,17,127,77,123,53.65853658536586,Italy,Europe
57,9,3,1,5,13,14,10,33.33333333333333,Ivory Coast,Africa
22,3,1,0,2,3,9,3,33.33333333333333,Jamaica,North America
122,21,5,5,11,20,29,20,23.809523809523807,Japan,Asia
21,3,0,1,2,2,6,1,0.0,Kuwait,Asia
191,57,16,14,27,60,98,56,28.07017543859649,Mexico,North America
96,16,2,5,9,14,22,10,12.5,Morocco,Africa
69,50,27,12,11,86,48,85,54.0,Netherlands,Europe
45,6,0,3,3,4,14,3,0.0,New Zealand,Asia
111,21,6,3,12,23,30,21,28.57142857142857,Nigeria,Africa
40,7,1,1,5,6,21,3,14.285714285714285,North Korea,Asia
37,13,3,5,5,13,23,11,23.076923076923077,Northern Ireland,Europe
44,8,2,3,3,7,8,9,25.0,Norway,Europe
32,3,0,0,3,2,11,0,0.0,Panama,North America
101,27,7,10,10,30,38,28,25.925925925925924,Paraguay,South America
66,18,5,3,10,21,33,14,27.77777777777778,Peru,South America
104,34,16,5,13,46,45,40,47.05882352941176,Poland,Europe
87,30,14,6,10,49,35,42,46.666666666666664,Portugal,Europe
36,13,2,8,3,10,10,14,15.384615384615385,Republic of Ireland,Europe
68,21,8,5,8,30,32,26,38.095238095238095,Romania,Europe
72,14,4,4,6,24,20,16,28.57142857142857,Russia,Europe
123,16,3,2,11,11,39,11,18.75,Saudi Arabia,Asia
128,23,4,7,12,25,41,15,17.391304347826086,Scotland,Europe
25,8,3,3,2,11,10,12,37.5,Senegal,Africa
47,6,2,0,4,4,7,6,33.33333333333333,Serbia,Europe
32,3,0,0,3,2,10,0,0.0,Serbia and Montenegro,Europe
16,4,1,1,2,5,7,4,25.0,Slovakia,Europe
48,6,1,1,4,5,10,4,16.666666666666664,Slovenia,Europe
61,9,2,4,3,11,16,10,22.22222222222222,South Africa,Africa
196,34,6,9,19,34,70,27,17.647058823529413,South Korea,Asia
55,31,15,6,10,53,34,36,48.38709677419355,Soviet Union,Europe
145,62,30,15,17,99,71,92,48.38709677419355,Spain,Europe
102,51,19,13,19,80,73,59,37.254901960784316,Sweden,Europe
125,37,12,8,17,50,64,39,32.432432432432435,Switzerland,Europe
30,3,0,0,3,1,6,0,0.0,Togo,Africa
27,3,0,1,2,0,4,1,0.0,Trinidad and Tobago,North America
114,15,2,4,9,13,25,9,13.333333333333334,Tunisia,Africa
12,10,5,1,4,20,17,15,50.0,Turkey,Europe
8,5,2,1,2,5,7,7,40.0,Ukraine,Europe
24,3,0,0,3,2,11,0,0.0,United Arab Emirates,Asia
158,33,8,6,19,37,62,27,24.242424242424242,United States,North America
122,56,24,12,20,87,74,69,42.857142857142854,Uruguay,South America
5,5,1,3,1,4,4,5,20.0,Wales,Europe
29,62,36,14,12,131,77,86,58.06451612903226,West Germany,Europe
57,33,14,7,12,55,42,35,42.42424242424242,Yugoslavia,Europe
16,3,0,0,3,0,14,0,0.0,Zaire,Africa
